period,month,trades,wins,win_rate,profit_r,profit_usd
training,2023-01,101,48,47.5,2.19,2188.33
training,2023-02,64,31,48.4,2.86,2863.59
training,2023-03,87,48,55.2,22.74,22744.87
training,2023-04,58,34,58.6,14.46,14457.05
training,2023-05,74,37,50.0,8.42,8420.5
training,2023-06,60,33,55.0,12.52,12518.5
training,2023-07,107,45,42.1,-8.51,-8508.55
training,2023-08,65,31,47.7,0.92,920.95
training,2023-09,66,18,27.3,-31.1,-31096.92
training,2023-10,87,43,49.4,10.32,10317.93
training,2023-11,84,28,33.3,-27.61,-27613.97
training,2023-12,56,34,60.7,20.71,20708.61
training,2024-01,64,39,60.9,22.72,22715.96
training,2024-02,58,25,43.1,-2.37,-2371.86
training,2024-03,64,25,39.1,-9.41,-9411.23
training,2024-04,125,63,50.4,16.15,16147.43
training,2024-05,58,29,50.0,6.2,6202.65
training,2024-06,77,33,42.9,-6.68,-6677.36
training,2024-07,67,21,31.3,-22.22,-22220.23
training,2024-08,54,27,50.0,6.58,6577.94
training,2024-09,60,27,45.0,-3.77,-3767.77
training,TOTAL,1536,719,46.8,35.12,35116.42
validation,2024-10,53,30,56.6,10.97,10971.52
validation,2024-11,99,44,44.4,-4.01,-4011.66
validation,2024-12,68,32,47.1,-2.55,-2548.81
validation,2025-01,96,37,38.5,-14.73,-14727.93
validation,2025-02,76,38,50.0,5.02,5017.64
validation,2025-03,57,27,47.4,11.35,11345.96
validation,2025-04,96,62,64.6,51.82,51824.37
validation,2025-05,58,36,62.1,18.12,18124.46
validation,2025-06,47,25,53.2,12.84,12842.43
validation,2025-07,62,23,37.1,-11.86,-11857.54
validation,2025-08,75,50,66.7,32.66,32656.97
validation,2025-09,59,33,55.9,12.11,12112.79
validation,2025-10,85,46,54.1,15.21,15206.01
validation,2025-11,78,35,44.9,-4.53,-4532.21
validation,2025-12,13,9,69.2,4.8,4802.42
validation,TOTAL,1022,527,51.6,137.23,137226.41
final,2023-01,116,61,52.6,34.82,34823.3
final,2023-02,68,29,42.6,2.53,2532.51
final,2023-03,89,43,48.3,26.58,26583.96
final,2023-04,64,38,59.4,30.17,30168.59
final,2023-05,76,37,48.7,19.13,19133.05
final,2023-06,69,36,52.2,22.97,22969.48
final,2023-07,114,49,43.0,12.57,12572.83
final,2023-08,67,31,46.3,9.15,9151.51
final,2023-09,69,22,31.9,-16.52,-16517.18
final,2023-10,95,47,49.5,25.42,25422.53
final,2023-11,94,28,29.8,-29.66,-29657.5
final,2023-12,60,34,56.7,27.63,27628.39
final,2024-01,69,39,56.5,31.69,31686.23
final,2024-02,62,27,43.5,5.94,5938.83
final,2024-03,77,35,45.5,7.03,7031.26
final,2024-04,136,66,48.5,35.83,35826.74
final,2024-05,60,30,50.0,18.94,18944.33
final,2024-06,79,34,43.0,5.29,5292.62
final,2024-07,70,23,32.9,-11.4,-11401.67
final,2024-08,65,32,49.2,17.77,17768.58
final,2024-09,92,45,48.9,19.5,19495.16
final,2024-10,56,32,57.1,23.97,23971.15
final,2024-11,91,51,56.0,40.66,40657.93
final,2024-12,69,36,52.2,16.68,16684.56
final,2025-01,92,43,46.7,16.84,16843.43
final,2025-02,68,38,55.9,25.55,25546.89
final,2025-03,69,30,43.5,16.23,16226.33
final,2025-04,95,54,56.8,55.38,55381.12
final,2025-05,60,36,60.0,27.72,27719.8
final,2025-06,48,26,54.2,23.52,23517.42
final,2025-07,68,26,38.2,-3.15,-3145.09
final,2025-08,77,45,58.4,36.53,36533.05
final,2025-09,65,35,53.8,23.28,23281.6
final,2025-10,88,47,53.4,32.19,32186.77
final,2025-11,76,34,44.7,7.01,7013.28
final,2025-12,13,10,76.9,10.36,10362.76
final,TOTAL,2726,1329,48.8,648.17,648174.54
