period,month,trades,wins,win_rate,profit_r,profit_usd
training,2023-01,101,48,47.5,2.19,2188.33
training,2023-02,64,31,48.4,2.86,2863.59
training,2023-03,87,48,55.2,22.74,22744.87
training,2023-04,58,34,58.6,14.46,14457.05
training,2023-05,74,37,50.0,8.42,8420.5
training,2023-06,60,33,55.0,12.52,12518.5
training,2023-07,107,45,42.1,-8.51,-8508.55
training,2023-08,65,31,47.7,0.92,920.95
training,2023-09,66,18,27.3,-31.1,-31096.92
training,2023-10,87,43,49.4,10.32,10317.93
training,2023-11,84,28,33.3,-27.61,-27613.97
training,2023-12,56,34,60.7,20.71,20708.61
training,2024-01,64,39,60.9,22.72,22715.96
training,2024-02,58,25,43.1,-2.37,-2371.86
training,2024-03,64,25,39.1,-9.41,-9411.23
training,2024-04,125,63,50.4,16.15,16147.43
training,2024-05,58,29,50.0,6.2,6202.65
training,2024-06,77,33,42.9,-6.68,-6677.36
training,2024-07,67,21,31.3,-22.22,-22220.23
training,2024-08,54,27,50.0,6.58,6577.94
training,2024-09,60,27,45.0,-3.77,-3767.77
training,TOTAL,1536,719,46.8,35.12,35116.42
validation,2024-10,53,30,56.6,10.97,10971.52
validation,2024-11,99,44,44.4,-4.01,-4011.66
validation,2024-12,68,32,47.1,-2.55,-2548.81
validation,2025-01,96,37,38.5,-14.73,-14727.93
validation,2025-02,76,38,50.0,5.02,5017.64
validation,2025-03,57,27,47.4,11.35,11345.96
validation,2025-04,96,62,64.6,51.82,51824.37
validation,2025-05,58,36,62.1,18.12,18124.46
validation,2025-06,47,25,53.2,12.84,12842.43
validation,2025-07,62,23,37.1,-11.86,-11857.54
validation,2025-08,75,50,66.7,32.66,32656.97
validation,2025-09,59,33,55.9,12.11,12112.79
validation,2025-10,85,46,54.1,15.21,15206.01
validation,2025-11,78,35,44.9,-4.53,-4532.21
validation,2025-12,13,9,69.2,4.8,4802.42
validation,TOTAL,1022,527,51.6,137.23,137226.41
final,2023-01,63,9,14.3,-16.79,-10076.12
final,2023-02,37,10,27.0,15.12,9071.85
final,2023-03,54,17,31.5,31.72,19029.58
final,2023-04,36,11,30.6,18.96,11376.08
final,2023-05,34,12,35.3,24.88,14930.22
final,2023-06,33,10,30.3,17.15,10290.51
final,2023-07,74,17,23.0,11.4,6842.91
final,2023-08,43,11,25.6,12.1,7261.76
final,2023-09,22,3,13.6,-7.24,-4341.45
final,2023-10,43,11,25.6,11.98,7188.0
final,2023-11,42,3,7.1,-27.22,-16333.11
final,2023-12,51,20,39.2,50.27,30162.79
final,2024-01,39,20,51.3,60.71,36428.37
final,2024-02,30,8,26.7,10.31,6188.95
final,2024-03,31,6,19.4,-0.95,-571.12
final,2024-04,86,23,26.7,28.1,16858.45
final,2024-05,38,10,26.3,12.22,7331.77
final,2024-06,45,9,20.0,0.1,61.1
final,2024-07,48,6,12.5,-19.4,-11638.61
final,2024-08,27,5,18.5,-0.93,-557.94
final,2024-09,20,2,10.0,-10.47,-6279.05
final,2024-10,36,11,30.6,19.56,11737.42
final,2024-11,50,17,34.0,31.86,19115.52
final,2024-12,38,9,23.7,5.23,3137.61
final,2025-01,56,9,16.1,-10.7,-6418.02
final,2025-02,43,15,34.9,32.58,19546.68
final,2025-03,36,15,41.7,38.45,23067.53
final,2025-04,69,33,47.8,97.83,58699.48
final,2025-05,31,11,35.5,25.38,15229.31
final,2025-06,15,7,46.7,20.93,12555.63
final,2025-07,12,6,50.0,18.26,10956.22
final,2025-08,20,9,45.0,23.93,14357.53
final,2025-09,12,3,25.0,3.09,1851.17
final,2025-10,46,12,26.1,15.16,9094.84
final,2025-11,31,8,25.8,8.94,5364.88
final,2025-12,3,0,0.0,-3.26,-1953.88
final,TOTAL,1394,388,27.8,549.28,329566.84
